drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
doxorubicin,88,3/29/2012,4.629824122,4.042310805,1.429596077,-0.618885042,-0.941632889,-1.133114618,-1.312618539,1.692482965
doxorubicin,88,3/25/2012,3.054995506,3.707460922,1.483096103,-0.50546458,-1.903784685,-1.244090124,0.418029776,1.52931469
doxorubicin,88,3/4/2012,3.877736832,4.093662939,1.604468557,-0.404578582,-2.32370757,-1.288962208,-0.911077384,1.34782806
doxorubicin,88,10/6/2011,1.837071908,3.610390406,1.184063842,0.063218568,-0.982267244,-1.087395091,-1.087761278,0.944691794
doxorubicin,87,5/9/2012,3.446591599,3.860950142,1.296493048,-0.648592048,-1.251183521,-1.085881805,-0.998305701,1.295781659
doxorubicin,87,6/29/2013,3.911463325,3.600936137,1.653731733,-0.689070904,-1.376303179,-1.426700417,-1.253097595,1.553126414
doxorubicin,87,11/2/2013,3.896164189,3.699435056,1.511899039,-0.440572591,-1.100164162,-1.878158877,-1.523061663,1.91753784
doxorubicin,87,7/18/2013,3.910675957,4.251517425,1.725825037,-0.616306629,-1.204358499,-1.416796383,-1.430567198,1.3533368
doxorubicin,87,1/31/2015,3.318076636,3.347953275,0.997849905,-0.572877848,-0.952308872,-0.668102342,-0.024551532,1.273496106
doxorubicin,87,10/27/2014,4.685592972,4.154026481,1.819219257,-0.556075699,-2.206636476,-1.472881062,-1.781564092,1.853747828
doxorubicin,87,5/31/2014,4.362862835,4.358431511,1.784439259,-0.929041449,-1.902264435,-1.619471596,-0.956529133,1.933501728
doxorubicin,87,4/12/2013,3.604196316,3.778773008,1.574749529,-0.624611577,-1.802702825,-1.576239146,-1.326197294,1.271530274
doxorubicin,87,2/28/2013,4.418513241,3.841117794,1.291640147,-1.021246701,-1.783478373,-1.738353977,-1.304706608,1.929889552
doxorubicin,87,8/15/2012,4.234465511,3.604482713,1.767245268,-0.741691227,-1.552636116,-1.453837456,-1.223910548,1.404677182
doxorubicin,87,12/17/2011,2.81787534,3.605499718,0.395965127,-0.470110991,-0.863606308,-1.193239967,-1.393323983,0.781482858
doxorubicin,86,11/24/2012,4.179772787,3.758014548,1.379061457,-0.350528367,-1.966052668,-0.915625652,-0.909649694,1.708132088
doxorubicin,86,4/15/2013,3.758014548,3.764554783,1.401959734,-0.514356861,-1.251467049,-1.391527554,-0.615736096,1.21153862
doxorubicin,86,5/22/2014,3.711346283,3.767037171,1.325563524,-1.246243809,-2.289993377,-1.902334905,-1.701874291,1.703077436
doxorubicin,86,5/7/2016,2.659037869,2.408444154,1.171018544,0.019301245,-1.836783055,-0.046072859,-2.161173416,0.669035093
doxorubicin,86,5/21/2014,3.848828671,3.836984042,1.696951937,-0.796257956,-2.321809407,-2.052380624,-1.496503194,1.973574714
doxorubicin,86,6/17/2015,3.733934741,3.729016486,1.711007457,-0.135085762,-1.244243808,-0.374273422,-0.96029415,1.585859356
doxorubicin,86,2/26/2012,3.766128939,4.054821949,1.13876407,-0.678708997,-1.302240038,-1.360307028,-1.43539906,1.793318941
doxorubicin,86,10/26/2013,4.413963666,3.754887502,2.308300131,-0.490986353,-1.887661124,-1.190331212,-1.131244533,1.918590887
doxorubicin,85,12/9/2012,3.436537978,3.630974898,1.211956412,-0.197386048,-1.803623307,-1.251819852,-1.214594051,1.415082361
doxorubicin,85,1/31/2013,3.880906608,4.009101808,1.873194011,-0.234873313,-2.11369787,-1.660079622,-1.021147968,1.543465513
doxorubicin,85,12/18/2014,4.129396752,3.62923073,1.338522944,-0.587502592,-1.232487604,-1.208469536,-1.981536394,1.612553886
doxorubicin,85,5/16/2015,3.522943667,3.161161856,1.520295004,-1.101044335,-2.065312424,-1.620974141,-2.034206992,1.552513966
doxorubicin,85,11/18/2012,4.250773499,3.929603589,1.369760191,-0.639928353,-2.277777653,-1.327447413,-1.352267873,1.657401924
doxorubicin,85,4/27/2012,3.058882528,3.355182187,1.052366978,-0.41599148,-2.025116437,-1.569440675,-1.453137229,1.345952808
doxorubicin,84,4/25/2014,3.406776572,3.572306203,1.25856291,-0.922883409,-1.713531488,-1.97237532,-1.494953182,1.173954898
doxorubicin,84,6/20/2015,3.876510207,4.303121351,1.565253206,-0.301772614,-1.096776968,-1.07366949,-1.004328371,1.08246216
doxorubicin,84,10/24/2014,3.71062852,3.970091361,1.782105928,-1.118527989,-2.19537047,-1.441470907,-1.825922519,1.433139306
doxorubicin,84,3/2/2012,4.099090329,3.775936826,1.499582974,-0.402363147,-1.749770436,-0.998399673,-1.734025664,1.853834903
doxorubicin,83,3/17/2012,3.125219453,3.090079738,1.230203562,-0.484299875,-0.939547483,-1.011514516,-1.222158597,1.554841135
doxorubicin,83,6/24/2013,4.279954171,3.930851588,1.653731733,-0.371968777,-1.658827739,-1.674904626,-1.232173442,1.373458396
doxorubicin,83,6/18/2015,3.647160493,3.711728584,1.60344891,-0.218490937,-1.630471542,-1.194050529,-1.220325975,1.331994205
doxorubicin,83,2/19/2012,4.274340976,4.017435237,1.481659997,-0.477549558,-1.77565061,-0.99826049,-1.557132595,1.616980451
doxorubicin,82,2/25/2012,3.793526529,4.004357282,1.338308391,-0.590355215,-1.807549379,-1.334888724,-1.459102312,1.750707907
doxorubicin,82,3/22/2014,3.599004177,3.002317741,1.527301075,-0.36883382,-0.983268074,-1.331477537,-1.904519603,1.053887638
doxorubicin,82,10/2/2015,3.80021048,3.29756786,1.153011619,-0.915657681,-1.423723227,-1.521696859,-1.432792245,1.572844599
doxorubicin,82,10/7/2015,3.517067877,3.396793657,1.492678591,-0.536232054,-0.990015911,-1.654043934,-1.566861536,1.521303863
doxorubicin,82,6/16/2015,3.435747395,4.187753481,2.156752947,0.096010341,-0.938806262,-0.536137983,-1.104187491,1.329554283
doxorubicin,82,3/6/2014,3.76874676,3.505570658,1.084221252,-0.24799453,-1.631029201,-1.602412083,-0.970787153,1.551958393
doxorubicin,82,5/20/2014,3.260663121,3.509868477,1.687588902,,-2.04864736,-1.639283497,-1.783115868,
doxorubicin,82,9/4/2013,3.724892762,3.459431619,1.330645312,-0.513801472,-1.68563681,-1.577308928,-1.531533188,1.788834834
doxorubicin,81,1/17/2013,3.746065856,3.298068631,1.018716831,-0.616775457,-2.032479486,-1.159772285,-1.255098426,1.267231227
doxorubicin,81,9/2/2013,3.54761461,3.548403117,1.424908583,-0.724787858,-1.140445394,-2.01287941,-1.321657649,1.378387699
doxorubicin,81,7/27/2015,3.455289256,3.3871868,1.485309878,-0.133365156,-0.850364163,-0.362875082,-0.870140521,1.116052963
doxorubicin,81,7/27/2015,3.455289256,3.3871868,1.485309878,-0.133365156,-0.850364163,-0.362875082,-0.870140521,1.116052963
doxorubicin,81,4/26/2014,3.344050427,3.078117428,0.982936755,-0.804744933,-1.559723498,-1.482386791,-1.417511501,1.205741244
doxorubicin,81,5/20/2016,3.201377285,3.490920937,1.178105879,-0.082392587,-1.511276022,-1.308024353,-1.283591613,1.209351021
doxorubicin,81,5/23/2014,3.583450985,3.4179695,1.676702586,-0.880075768,-2.114775914,-1.684736839,-1.225833263,1.587141279
doxorubicin,81,3/17/2013,3.873780049,3.612491711,1.374648564,-0.946489756,-1.530572546,-0.984696171,-1.180814162,1.173399948
doxorubicin,81,2/13/2012,3.317286936,2.747636307,0.999210131,-0.494224594,-1.257711893,-1.186679788,-0.801140052,1.460656837
doxorubicin,80,5/18/2012,3.166510337,3.318144725,1.273847571,-0.408992912,-1.607812491,-1.07870606,-0.980774883,1.020926947
doxorubicin,80,3/23/2012,3.593447047,3.562923721,1.603524669,-0.609572283,-1.712951545,-1.186608029,-1.474486617,1.923707295
doxorubicin,80,10/4/2015,3.796274103,3.724262048,1.268847119,-0.533745676,-1.056404513,-1.564997908,-1.270591766,0.958509604
doxorubicin,80,11/22/2013,3.724892762,3.275089844,1.395301281,-0.582908842,-2.273908851,-1.265881519,-1.657376831,1.349481622
doxorubicin,80,7/22/2014,3.967389728,3.17735598,1.387710794,-0.762957062,-1.528126745,-1.568710493,-1.536938293,1.53201051
doxorubicin,80,7/5/2015,3.52130881,3.606624789,1.693025533,-0.087040568,-0.742095499,-0.692591119,-1.220709978,1.273231381
doxorubicin,80,6/23/2013,3.805672479,3.46396781,1.212404915,-0.311347158,-1.23234202,-1.384417606,-1.696625434,1.062737857
doxorubicin,80,3/24/2014,3.848239135,3.571629604,1.540224186,-0.46160599,-1.671293997,-1.775573187,-1.803190626,1.071713509
